Event Time,Process Id,Process Name,Command Line,Creation Time,Account Name,Parent Process Id,Parent Process Name,Parent Command Line,Remote IP,Remote Port,Local IP,Local Port,Process Status,Process Integrity Level,Executable Path,SHA1,Read Count,Write Count
2025-01-26 21:09:46,0,System Idle Process,,1970-01-01 05:30:00,NT AUTHORITY\SYSTEM,,,,65.0.195.250,443,192.168.226.60,51886,running,Normal,,,0,0
2025-01-26 21:09:46,0,System Idle Process,,1970-01-01 05:30:00,NT AUTHORITY\SYSTEM,,,,65.0.195.250,443,192.168.226.60,51881,running,Normal,,,0,0
2025-01-26 21:09:46,0,System Idle Process,,1970-01-01 05:30:00,NT AUTHORITY\SYSTEM,,,,2404:6800:4007:82d::200a,443,2401:4900:67a0:7c58:b10b:7c1c:6692:bcfa,51876,running,Normal,,,0,0
2025-01-26 21:09:46,0,System Idle Process,,1970-01-01 05:30:00,NT AUTHORITY\SYSTEM,,,,2606:4700:83b2:7cbc:c2a5:50c:5ff2:75c4,443,2401:4900:67a0:7c58:b10b:7c1c:6692:bcfa,51864,running,Normal,,,0,0
2025-01-26 21:09:46,4,System,,2025-01-26 19:20:07,NT AUTHORITY\SYSTEM,,,,,,192.168.226.60,139,running,Normal,,,542,42902
2025-01-26 21:09:46,4,System,,2025-01-26 19:20:07,NT AUTHORITY\SYSTEM,,,,,,192.168.226.60,137,running,Normal,,,542,42902
2025-01-26 21:09:46,4,System,,2025-01-26 19:20:07,NT AUTHORITY\SYSTEM,,,,,,0.0.0.0,445,running,Normal,,,542,42902
2025-01-26 21:09:46,4,System,,2025-01-26 19:20:07,NT AUTHORITY\SYSTEM,,,,,,192.168.226.60,138,running,Normal,,,542,42902
2025-01-26 21:09:46,4,System,,2025-01-26 19:20:07,NT AUTHORITY\SYSTEM,,,,,,::,445,running,Normal,,,542,42902
2025-01-26 21:09:46,168,Registry,,2025-01-26 19:20:05,NT AUTHORITY\SYSTEM,4,System,,,,,,running,Normal,Registry,,4,9196
2025-01-26 21:09:46,288,Code.exe,C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe,2025-01-26 20:13:57,LAPTOP-6O3JCTLT\LENOVO,9480,explorer.exe,C:\WINDOWS\Explorer.EXE,,,,,running,Normal,C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe,0102fcca85dbbc61901c2bec5d092a703c0f77a4,34176,21429
2025-01-26 21:09:46,548,pet.exe,c:\Users\LENOVO\.vscode\extensions\ms-python.python-2024.22.2-win32-x64\python-env-tools\bin\pet.exe server,2025-01-26 20:14:01,LAPTOP-6O3JCTLT\LENOVO,13648,Code.exe,"C:\Users\LENOVO\AppData\Local\Programs\Microsoft VS Code\Code.exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --video-capture-use-gpu-memory-buffer --user-data-dir=C:\Users\LENOVO\AppData\Roaming\Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --field-trial-handle=3624,i,4524504095230592636,17714388146891457910,262144 --disable-features=CalculateNativeWinOcclusion,PlzDedicatedWorker,SpareRendererForSitePerProcess,WinDelaySpellcheckServiceInit,WinRetrieveSuggestionsOnlyOnDemand --variations-seed-version --mojo-platform-channel-handle=3620 /prefetch:14",,,,,running,Normal,C:\Users\LENOVO\.vscode\extensions\ms-python.python-2024.22.2-win32-x64\python-env-tools\bin\pet.exe,0c7f4b47b1f794fe5511367b20815022aa377e81,12,141
